,price,livingAreaSqFt,median_zip,zip_rank,avgSchoolRating,pr_sf
324,437928.0,1406.0,789000.0,37,8.0,311.47
325,1625166.0,4237.0,874740.0,39,7.0,383.57
326,288944.0,3165.0,548501.0,27,7.0,91.29
327,482120.0,2045.0,585276.0,30,8.333333333333334,235.76
328,382367.0,1359.0,653543.0,33,7.0,281.36
329,570610.0,1780.0,789000.0,37,8.0,320.57
330,346091.0,2432.0,325080.0,8,3.6666666666666665,142.31
331,545452.0,3328.0,548501.0,27,7.0,163.9
332,737357.0,3451.0,653543.0,33,8.666666666666666,213.66
333,874764.0,2812.0,874740.0,39,7.0,311.08
334,1093933.0,3294.0,646176.0,32,5.666666666666668,332.1
335,1287843.0,3764.0,874740.0,39,7.0,342.15
336,287348.0,1511.0,280777.0,3,3.6666666666666665,190.17
337,415852.0,1884.0,451466.0,20,8.333333333333334,220.73
338,273524.0,1359.0,325080.0,8,3.6666666666666665,201.27
339,679720.0,2526.0,653543.0,33,8.666666666666666,269.09
340,509877.0,3274.0,548501.0,27,7.0,155.74
341,356026.0,1754.0,287568.0,4,3.6666666666666665,202.98
342,659286.0,3029.0,585276.0,30,8.333333333333334,217.66
343,235891.0,1236.0,230108.0,2,3.0,190.85
344,532973.0,3346.0,548501.0,27,8.0,159.29
345,621716.0,2728.0,653543.0,33,7.0,227.9
346,255430.0,2491.0,280777.0,3,3.6666666666666665,102.54
347,528477.0,2495.0,548501.0,27,7.0,211.81
348,597051.0,3358.0,585276.0,30,8.333333333333334,177.8
349,236423.0,1985.0,451466.0,20,8.333333333333334,119.1
350,287446.0,1761.0,280777.0,3,3.6666666666666665,163.23
351,193907.0,1326.0,280777.0,3,2.6666666666666665,146.23
352,447169.0,2846.0,653543.0,33,8.666666666666666,157.12
353,625014.0,3884.0,548501.0,27,7.0,160.92
354,875894.0,3076.0,789000.0,37,9.333333333333334,284.75
355,468829.0,2068.0,820176.0,38,7.0,226.71
356,438316.0,2708.0,451466.0,20,8.333333333333334,161.86
357,245880.0,1895.0,230108.0,2,3.0,129.75
358,725910.0,2898.0,653543.0,33,7.0,250.49
359,816707.0,4597.0,585276.0,30,8.333333333333334,177.66
360,396272.0,1916.0,287568.0,4,3.6666666666666665,206.82
361,353765.0,2193.0,325080.0,8,3.6666666666666665,161.32
362,490279.0,2538.0,548501.0,27,7.0,193.18
363,236933.0,1952.0,280777.0,3,2.6666666666666665,121.38
364,190063.0,1723.0,653543.0,33,7.666666666666668,110.31
365,959000.0,4559.0,585276.0,30,8.333333333333334,210.35
366,583377.0,2635.0,548501.0,27,8.0,221.4
367,826518.0,3574.0,653543.0,33,7.0,231.26
368,369393.0,2110.0,789000.0,37,8.0,175.07
369,465267.0,2622.0,548501.0,27,7.0,177.45
370,308550.0,1580.0,325080.0,8,3.6666666666666665,195.28
371,309005.0,1096.0,653543.0,33,7.0,281.94
372,485948.0,2837.0,280777.0,3,3.6666666666666665,171.29
373,638458.0,3379.0,548501.0,27,7.0,188.95
374,901612.0,4150.0,585276.0,30,8.666666666666666,217.26
375,842112.0,2826.0,653543.0,33,8.666666666666666,297.99
376,915123.0,4549.0,585276.0,30,8.333333333333334,201.17
377,276727.0,1863.0,230108.0,2,3.0,148.54
378,609424.0,2489.0,653543.0,33,7.0,244.85
379,372895.0,2030.0,451466.0,20,8.333333333333334,183.69
380,446975.0,2942.0,287568.0,4,3.6666666666666665,151.93
381,1260536.0,3724.0,1022880.0,40,9.0,338.49
382,1261997.0,4616.0,789000.0,37,8.0,273.4
383,408817.0,2874.0,325080.0,8,3.0,142.25
384,303808.0,1531.0,280777.0,3,3.6666666666666665,198.44
385,522914.0,2792.0,451466.0,20,8.333333333333334,187.29
386,420127.0,2502.0,287568.0,4,3.6666666666666665,167.92
387,457812.0,1747.0,653543.0,33,7.0,262.06
388,333763.0,1695.0,325080.0,8,2.6666666666666665,196.91
389,443600.0,2484.0,548501.0,27,7.0,178.58
390,260550.0,1650.0,280777.0,3,3.6666666666666665,157.91
391,200904.0,1178.0,230108.0,2,3.0,170.55
392,435312.0,1985.0,451466.0,20,8.333333333333334,219.3
393,754425.0,3058.0,585276.0,30,8.666666666666666,246.71
394,971892.0,3205.0,653543.0,33,8.666666666666666,303.24
395,568905.0,3522.0,548501.0,27,7.0,161.53
396,475239.0,2470.0,280777.0,3,3.6666666666666665,192.4
397,224708.0,1426.0,230108.0,2,3.0,157.58
398,944432.0,3078.0,653543.0,33,7.0,306.83
399,417218.0,1976.0,287568.0,4,3.6666666666666665,211.14
400,407626.0,1947.0,585276.0,30,8.333333333333334,209.36
401,679980.0,3335.0,585276.0,30,8.666666666666666,203.89
402,853170.0,3649.0,1022880.0,40,9.0,233.81
403,335035.0,2112.0,325080.0,8,3.6666666666666665,158.63
404,450902.0,2537.0,653543.0,33,8.666666666666666,177.73
405,346133.0,1815.0,451466.0,20,8.333333333333334,190.71
406,282787.0,1347.0,280777.0,3,3.6666666666666665,209.94
407,237083.0,1726.0,230108.0,2,3.0,137.36
408,540832.0,2848.0,820176.0,38,7.0,189.9
409,244254.0,1692.0,230108.0,2,3.0,144.36
410,158586.0,3750.0,541080.0,26,8.0,42.29
411,734056.0,4172.0,585276.0,30,8.666666666666666,175.95
412,269365.0,1116.0,280777.0,3,3.6666666666666665,241.37
413,207537.0,1476.0,230108.0,2,3.0,140.61
414,603075.0,2220.0,653543.0,33,8.666666666666666,271.66
415,1401042.0,3652.0,789000.0,37,9.333333333333334,383.64
416,457920.0,2949.0,548501.0,27,7.0,155.28
